2025-05-14 05:13:33,136, ragwithsagemaker, common.py, 19, read_yaml, INFO, config/config.yaml file loaded sucessfully
2025-05-14 05:13:33,137, ragwithsagemaker, common.py, 19, read_yaml, INFO, params.yaml file loaded sucessfully
2025-05-14 05:13:33,137, ragwithsagemaker, common.py, 19, read_yaml, INFO, schema.yaml file loaded sucessfully
2025-05-14 05:13:33,137, ragwithsagemaker, common.py, 32, create_dir, INFO, Directory model created
2025-05-14 05:13:33,137, ragwithsagemaker, textgenerationmodel.py, 16, __init__, INFO, config received SagemakerSessionConfig(bucket='mlflowtrackingrafi', default_bucket_prefix='model', role='arn:aws:iam::703671901662:role/service-role/AmazonSageMaker-ExecutionRole-20250211T170358') TextgenartionConfig(servingproperties=ConfigBox({'engine': 'MPI', 'option.model_id': 'tiiuae/falcon-7b-instruct', 'option.trust_remote_code': 'true', 'option.tensor_parallel_degree': 1, 'option.paged_attention': 'true', 'option.max_rolling_batch_size': 64, 'option.rolling_batch': 'lmi-dist', 'option.max_rolling_batch_prefill_tokens': 1560}), model=ConfigBox({'model_name': 'falcon-7b-instruct', 'properties_file': 'tiiuae'}), image=ConfigBox({'framework': 'djl-deepspeed', 'version': '0.23.0'}), instance_type=None, model_folder='model', base_name_endpoint='lmi-model-falcon-7b', s3_code_prefix='large-model-lmi/code')
2025-05-14 05:13:33,283, ragwithsagemaker, textgenerationmodel.py, 43, creat_and_deploy_model, INFO, Propteries file written to location
2025-05-14 05:13:33,289, ragwithsagemaker, textgenerationmodel.py, 47, creat_and_deploy_model, INFO, Tar file generated
2025-05-14 05:13:33,382, ragwithsagemaker, textgenerationmodel.py, 50, creat_and_deploy_model, INFO, image uri is : 763104351884.dkr.ecr.us-east-1.amazonaws.com/djl-inference:0.23.0-deepspeed0.9.5-cu118
2025-05-14 05:13:33,840, ragwithsagemaker, textgenerationmodel.py, 57, creat_and_deploy_model, INFO, code artificats pushed to s3
2025-05-14 05:13:33,840, ragwithsagemaker, textgenerationmodel.py, 59, creat_and_deploy_model, INFO, model name is: lmi-model-falcon-7b-2025-05-14-12-13-33-840
2025-05-14 05:13:33,840, ragwithsagemaker, textgenerationmodel.py, 68, creat_and_deploy_model, INFO, model generated
